temperature,humidity,exposure_hours,activity_level,hydration_level,age_group,heat_index,risk_score,risk_label
34.7,60.0,2,heavy,moderate,46-55,44.1,0.869,extreme
34.3,66.8,6,heavy,poor,18-25,46.3,1.0,extreme
37.8,64.2,1,heavy,well,36-45,57.4,1.0,extreme
35.0,41.6,11,extreme,moderate,46-55,37.8,0.996,extreme
27.1,24.1,5,extreme,well,55+,26.5,0.718,high
30.5,51.7,4,heavy,poor,26-35,32.1,0.982,extreme
30.7,69.4,1,light,well,46-55,36.7,0.629,moderate
38.4,86.1,12,light,poor,55+,79.7,0.994,extreme
28.6,31.8,9,light,well,18-25,27.7,0.554,moderate
26.2,52.2,11,moderate,moderate,36-45,26.2,0.52,moderate
32.1,83.9,2,extreme,moderate,36-45,46.3,0.983,extreme
27.7,41.5,6,moderate,poor,46-55,27.5,0.842,high
32.3,69.4,11,light,well,46-55,41.0,1.0,extreme
29.8,63.3,11,moderate,poor,46-55,33.1,1.0,extreme
30.2,72.1,4,heavy,well,36-45,36.0,0.58,moderate
40.2,56.7,5,extreme,well,18-25,60.7,0.975,extreme
22.0,68.2,3,moderate,poor,46-55,22.0,0.646,moderate
33.9,58.1,7,moderate,moderate,46-55,41.1,1.0,extreme
37.8,76.7,12,light,well,36-45,67.5,1.0,extreme
30.4,71.7,4,light,poor,46-55,36.5,0.797,high
40.1,70.4,12,moderate,poor,36-45,72.9,1.0,extreme
38.0,61.0,6,light,well,18-25,55.5,0.984,extreme
28.6,50.9,7,heavy,well,55+,29.3,0.591,moderate
44.8,59.0,2,moderate,moderate,36-45,83.1,1.0,extreme
29.3,66.9,6,extreme,poor,18-25,32.7,0.955,extreme
32.8,48.7,10,heavy,poor,46-55,35.6,0.974,extreme
32.3,63.2,5,light,poor,46-55,38.7,1.0,extreme
28.3,40.8,2,moderate,poor,46-55,28.0,0.685,moderate
31.0,57.9,5,light,moderate,46-55,34.4,0.809,high
31.9,79.8,5,light,well,36-45,44.1,0.79,high
24.7,72.8,6,heavy,moderate,46-55,25.1,0.684,moderate
25.7,77.1,11,light,poor,36-45,26.3,0.675,moderate
30.4,55.6,2,heavy,well,36-45,32.6,0.64,moderate
39.2,56.5,6,moderate,poor,36-45,56.8,1.0,extreme
32.2,56.0,8,heavy,poor,26-35,36.4,0.97,extreme
31.8,62.9,2,extreme,well,46-55,37.4,0.995,extreme
38.9,49.2,9,extreme,poor,26-35,50.8,1.0,extreme
33.6,51.3,12,heavy,moderate,36-45,37.9,0.956,extreme
32.2,58.9,4,light,moderate,55+,37.1,0.649,moderate
34.3,90.2,9,heavy,poor,18-25,60.2,0.957,extreme
28.8,47.1,5,light,poor,46-55,29.1,0.743,high
40.3,76.7,9,light,poor,18-25,80.4,1.0,extreme
27.7,94.7,2,extreme,well,36-45,33.5,0.71,high
32.1,60.3,10,heavy,moderate,46-55,37.3,0.962,extreme
33.8,76.3,10,moderate,moderate,46-55,49.4,1.0,extreme
33.1,57.9,10,light,well,55+,39.0,0.913,extreme
33.9,45.7,8,extreme,poor,18-25,36.9,0.947,extreme
38.2,73.8,2,light,moderate,36-45,66.6,1.0,extreme
38.2,67.9,9,moderate,well,18-25,61.6,0.978,extreme
37.9,75.0,5,moderate,moderate,26-35,66.3,0.999,extreme
31.4,54.3,7,extreme,poor,55+,34.3,0.943,extreme
22.9,63.6,7,heavy,poor,36-45,22.9,0.618,moderate
28.5,58.1,5,light,poor,36-45,29.9,0.532,moderate
36.5,68.8,10,light,moderate,18-25,55.3,0.976,extreme
38.1,66.4,12,heavy,moderate,18-25,60.3,0.926,extreme
27.1,48.3,5,moderate,poor,55+,27.4,0.891,extreme
26.6,50.0,10,light,well,55+,26.6,0.54,moderate
20.0,51.2,3,extreme,well,46-55,19.4,0.542,moderate
28.0,39.8,4,heavy,moderate,36-45,27.7,0.528,moderate
39.5,70.4,7,heavy,well,26-35,69.9,1.0,extreme
25.5,66.2,11,light,moderate,55+,25.8,0.645,moderate
26.7,86.0,8,extreme,well,18-25,29.5,0.831,high
37.1,49.2,6,extreme,moderate,36-45,45.5,1.0,extreme
29.5,52.0,6,moderate,poor,26-35,30.7,0.591,moderate
33.2,61.9,11,heavy,well,18-25,40.8,1.0,extreme
33.4,63.3,11,heavy,poor,55+,41.9,0.956,extreme
32.0,77.0,8,extreme,moderate,36-45,43.2,0.933,extreme
25.0,64.0,8,moderate,poor,36-45,25.2,0.523,moderate
32.9,64.9,9,heavy,well,36-45,41.1,0.956,extreme
31.0,63.9,6,light,moderate,46-55,35.9,0.779,high
46.8,37.5,1,light,well,46-55,66.0,1.0,extreme
22.7,70.2,2,extreme,moderate,26-35,22.8,0.601,moderate
25.0,55.2,3,light,well,36-45,25.0,0.108,low
26.2,73.8,1,extreme,well,55+,27.7,0.703,high
28.9,41.0,5,moderate,moderate,55+,28.6,0.691,moderate
29.2,57.6,6,moderate,moderate,18-25,31.0,0.54,moderate
24.5,67.4,3,extreme,well,18-25,24.8,0.393,low
22.6,64.0,8,extreme,moderate,55+,22.6,0.852,extreme
37.0,81.1,2,extreme,poor,55+,67.0,0.997,extreme
31.9,48.7,12,light,moderate,36-45,33.9,0.844,high
30.7,66.9,8,moderate,moderate,26-35,36.0,0.845,high
24.0,67.0,9,heavy,moderate,18-25,24.2,0.659,moderate
31.5,48.0,9,light,moderate,36-45,33.0,0.799,high
23.4,46.8,11,extreme,poor,26-35,23.0,0.928,extreme
31.2,41.0,4,extreme,moderate,26-35,31.3,0.716,high
34.4,38.4,5,moderate,well,55+,35.7,0.809,high
36.9,59.1,3,extreme,moderate,18-25,50.6,1.0,extreme
39.0,60.8,5,moderate,well,18-25,59.4,1.0,extreme
30.4,70.9,10,moderate,poor,18-25,36.2,0.989,extreme
28.1,63.5,12,light,moderate,26-35,30.0,0.575,moderate
36.9,66.2,3,light,poor,46-55,55.0,1.0,extreme
32.4,48.5,7,moderate,well,18-25,34.7,0.656,moderate
30.3,38.7,1,light,moderate,55+,29.9,0.541,moderate
27.3,66.0,1,light,moderate,55+,29.0,0.478,moderate
34.7,61.7,12,extreme,well,46-55,44.8,0.998,extreme
34.7,37.5,2,heavy,poor,36-45,36.0,0.859,extreme
29.1,72.1,8,light,moderate,18-25,33.4,0.687,moderate
28.4,47.3,8,moderate,poor,18-25,28.6,0.662,moderate
34.3,40.2,9,light,moderate,18-25,36.0,0.876,extreme
34.3,68.9,11,light,well,18-25,47.2,0.984,extreme
33.9,57.3,12,extreme,well,46-55,40.8,0.994,extreme
26.6,54.6,7,extreme,poor,26-35,27.3,0.892,extreme
30.6,75.9,3,moderate,poor,46-55,38.2,1.0,extreme
35.9,52.9,5,extreme,moderate,46-55,44.1,0.921,extreme
36.7,75.8,6,heavy,poor,18-25,61.1,0.976,extreme
30.7,85.7,4,extreme,poor,36-45,41.8,0.951,extreme
32.3,82.1,1,moderate,well,46-55,46.3,0.844,high
36.7,84.7,6,extreme,moderate,26-35,68.5,1.0,extreme
32.3,51.7,2,moderate,well,55+,35.4,0.674,moderate
26.7,55.5,2,extreme,poor,26-35,27.4,0.738,high
37.1,70.4,1,moderate,poor,55+,58.8,0.996,extreme
39.6,70.5,4,extreme,well,18-25,70.2,1.0,extreme
28.1,63.3,11,heavy,poor,55+,29.9,0.936,extreme
31.7,45.2,7,moderate,well,18-25,32.8,0.56,moderate
27.0,49.4,9,light,poor,36-45,27.3,0.82,high
29.3,43.4,2,extreme,poor,36-45,29.2,0.797,high
30.7,52.4,3,moderate,moderate,55+,32.7,0.836,high
37.5,67.5,6,moderate,well,18-25,58.3,1.0,extreme
31.1,69.3,12,moderate,well,55+,37.6,0.998,extreme
32.7,74.9,6,extreme,moderate,55+,44.5,0.927,extreme
38.9,70.2,2,extreme,poor,26-35,66.8,1.0,extreme
42.6,86.1,12,extreme,moderate,46-55,107.8,0.947,extreme
23.9,45.9,2,moderate,moderate,36-45,23.5,0.204,low
23.0,98.5,7,light,poor,26-35,23.9,0.509,moderate
27.6,59.0,1,heavy,moderate,18-25,28.8,0.556,moderate
31.2,82.6,5,light,poor,18-25,42.7,0.971,extreme
36.5,66.4,11,extreme,poor,26-35,53.8,0.943,extreme
25.9,71.5,5,extreme,moderate,26-35,26.5,0.521,moderate
30.6,58.8,1,moderate,poor,18-25,33.8,0.865,extreme
37.3,69.1,11,moderate,poor,36-45,58.7,1.0,extreme
31.2,57.4,10,heavy,moderate,55+,34.6,1.0,extreme
35.8,61.4,9,extreme,poor,36-45,48.3,1.0,extreme
34.0,57.8,8,light,poor,18-25,41.4,0.983,extreme
36.3,46.6,7,light,well,26-35,42.3,0.719,high
28.2,60.7,2,light,poor,36-45,29.8,0.539,moderate
23.9,59.8,1,extreme,poor,55+,23.9,0.886,extreme
36.0,70.6,8,extreme,poor,18-25,54.5,1.0,extreme
39.4,52.2,7,heavy,moderate,36-45,54.3,0.881,extreme
29.7,58.9,2,moderate,poor,26-35,32.2,0.787,high
36.0,42.2,7,heavy,moderate,18-25,40.0,0.941,extreme
25.2,70.2,11,moderate,moderate,36-45,25.6,0.683,moderate
24.7,39.5,5,moderate,poor,36-45,24.3,0.597,moderate
34.7,45.7,12,light,moderate,36-45,38.5,0.851,extreme
25.8,48.3,8,moderate,well,36-45,25.7,0.277,low
30.2,55.4,3,moderate,poor,36-45,32.2,0.822,high
31.0,58.8,4,extreme,poor,55+,34.6,0.996,extreme
31.4,56.3,1,moderate,moderate,36-45,34.8,0.661,moderate
46.6,36.9,6,extreme,poor,55+,64.9,1.0,extreme
23.8,48.7,7,heavy,well,36-45,23.5,0.35,low
29.4,68.3,8,light,well,36-45,33.3,0.539,moderate
35.5,73.0,2,light,well,46-55,53.9,1.0,extreme
27.0,52.1,11,extreme,poor,18-25,27.5,0.891,extreme
20.3,50.1,1,moderate,well,36-45,19.7,0.207,low
31.4,76.5,8,extreme,poor,18-25,40.9,1.0,extreme
34.7,76.7,7,light,moderate,55+,53.3,0.974,extreme
31.9,60.2,11,moderate,poor,18-25,36.9,1.0,extreme
31.2,39.2,4,extreme,moderate,36-45,31.0,0.705,high
31.3,54.6,5,extreme,well,26-35,34.1,0.874,extreme
25.2,26.0,7,extreme,well,18-25,24.5,0.41,moderate
35.0,52.4,3,light,well,46-55,41.6,0.806,high
32.7,45.3,3,light,well,18-25,34.6,0.443,moderate
24.9,37.5,3,light,poor,46-55,24.4,0.528,moderate
26.7,56.7,12,extreme,moderate,18-25,27.5,1.0,extreme
32.0,82.4,1,extreme,moderate,36-45,45.4,0.949,extreme
39.3,55.0,2,light,poor,55+,56.1,0.986,extreme
36.4,73.7,3,heavy,well,26-35,58.4,0.959,extreme
30.5,59.4,9,light,well,46-55,33.8,0.882,extreme
36.1,65.8,6,light,poor,46-55,51.7,1.0,extreme
37.6,59.0,1,light,poor,26-35,52.7,1.0,extreme
34.5,82.8,6,moderate,well,46-55,56.0,0.909,extreme
32.1,44.8,12,light,well,46-55,33.3,0.838,high
33.4,64.5,4,light,well,26-35,42.3,0.639,moderate
35.7,56.2,6,heavy,moderate,26-35,45.3,1.0,extreme
42.3,43.2,10,extreme,well,55+,57.0,0.997,extreme
31.0,63.2,10,light,moderate,18-25,35.7,0.736,high
34.9,67.9,12,moderate,poor,26-35,48.8,1.0,extreme
35.8,62.3,2,moderate,poor,18-25,48.9,0.927,extreme
39.9,50.1,9,extreme,well,46-55,54.4,0.975,extreme
33.5,75.2,6,moderate,moderate,46-55,47.4,1.0,extreme
29.9,83.0,4,heavy,well,46-55,38.1,0.739,high
26.4,44.2,8,extreme,poor,26-35,26.2,0.719,high
32.5,93.2,9,extreme,poor,55+,52.9,1.0,extreme
28.4,91.1,1,light,poor,18-25,35.3,0.682,moderate
25.1,76.7,2,moderate,well,26-35,25.7,0.31,low
30.8,67.6,4,heavy,moderate,36-45,36.4,0.768,high
27.9,65.7,12,light,well,18-25,29.9,0.482,moderate
39.9,70.3,12,moderate,well,46-55,71.8,1.0,extreme
33.5,77.4,8,heavy,poor,26-35,48.8,0.928,extreme
21.3,81.2,7,extreme,moderate,36-45,21.6,0.68,moderate
30.4,80.1,11,moderate,well,26-35,38.9,0.833,high
46.8,64.8,11,moderate,moderate,18-25,102.5,0.893,extreme
38.0,52.7,3,heavy,poor,26-35,50.2,0.945,extreme
32.9,44.4,8,moderate,well,36-45,34.7,0.658,moderate
28.8,61.8,9,extreme,poor,36-45,31.0,1.0,extreme
20.0,61.2,4,heavy,moderate,26-35,19.7,0.461,moderate
38.8,39.8,10,extreme,well,46-55,45.2,0.962,extreme
37.4,59.3,2,heavy,poor,55+,52.3,1.0,extreme
36.1,75.1,5,extreme,well,18-25,58.1,0.905,extreme
29.7,66.3,7,extreme,poor,36-45,33.5,1.0,extreme
24.7,51.8,6,light,moderate,26-35,24.6,0.337,low
28.3,55.5,7,moderate,poor,46-55,29.4,0.808,high
27.2,67.5,5,extreme,well,26-35,29.0,0.673,moderate
24.6,89.3,1,heavy,moderate,55+,25.4,0.464,moderate
38.1,47.9,4,extreme,moderate,18-25,47.8,1.0,extreme
34.1,57.0,10,light,moderate,36-45,41.3,0.903,extreme
34.0,73.2,5,moderate,moderate,46-55,48.4,0.984,extreme
42.2,48.0,12,moderate,moderate,18-25,60.8,0.962,extreme
35.6,77.6,9,extreme,moderate,46-55,57.6,0.991,extreme
20.4,65.5,8,extreme,poor,18-25,20.2,0.726,high
27.1,64.0,9,light,well,26-35,28.5,0.473,moderate
32.1,45.7,1,light,poor,36-45,33.6,0.665,moderate
40.3,79.4,1,light,moderate,18-25,83.8,1.0,extreme
35.7,60.3,1,heavy,moderate,36-45,47.2,0.969,extreme
34.5,30.6,6,extreme,well,36-45,34.0,0.88,extreme
38.1,61.2,10,light,well,46-55,56.1,0.943,extreme
23.4,57.8,3,moderate,moderate,18-25,23.3,0.289,low
26.6,65.2,1,extreme,well,55+,27.9,0.702,high
27.1,76.8,9,extreme,moderate,26-35,29.7,0.902,extreme
35.0,59.3,6,moderate,moderate,46-55,44.7,0.948,extreme
25.9,35.9,8,heavy,poor,26-35,25.5,0.619,moderate
27.1,83.0,12,extreme,well,36-45,30.2,0.845,high
37.5,69.3,10,extreme,well,18-25,59.9,0.981,extreme
29.2,64.6,7,light,moderate,36-45,32.2,0.673,moderate
35.2,56.8,12,extreme,moderate,55+,44.1,0.952,extreme
22.1,86.3,10,light,poor,46-55,22.6,0.88,extreme
42.0,51.3,5,moderate,well,18-25,62.8,1.0,extreme
29.6,70.6,6,light,poor,55+,34.1,0.958,extreme
36.3,76.8,6,heavy,moderate,55+,60.2,0.923,extreme
34.2,66.5,1,heavy,moderate,55+,45.7,0.985,extreme
37.6,69.8,4,extreme,well,55+,60.7,0.989,extreme
32.1,66.6,7,extreme,poor,46-55,39.6,0.963,extreme
34.8,70.5,9,light,well,18-25,50.1,1.0,extreme
27.7,37.2,2,extreme,poor,26-35,27.3,0.879,extreme
30.7,52.5,1,moderate,poor,55+,32.6,0.871,extreme
31.9,71.6,8,heavy,poor,46-55,40.6,0.937,extreme
28.9,60.6,12,moderate,moderate,36-45,31.0,0.754,high
39.5,51.9,6,extreme,moderate,46-55,54.4,0.978,extreme
24.0,54.2,10,extreme,well,46-55,23.9,0.956,extreme
30.9,50.8,10,light,moderate,18-25,32.6,0.847,high
33.5,35.4,4,heavy,poor,36-45,33.5,0.873,extreme
20.0,92.7,6,light,moderate,36-45,20.5,0.362,low
29.3,76.6,4,extreme,moderate,26-35,34.8,0.939,extreme
30.8,42.0,10,moderate,well,36-45,30.9,0.702,high
30.1,58.6,8,light,poor,46-55,32.8,0.845,high
23.2,34.9,4,light,moderate,55+,22.5,0.371,low
29.7,58.8,5,light,moderate,55+,32.0,0.714,high
31.8,65.6,10,moderate,well,55+,38.4,1.0,extreme
34.9,64.4,6,heavy,moderate,18-25,47.0,0.887,extreme
25.6,64.6,5,heavy,poor,18-25,25.9,0.697,moderate
36.3,57.9,8,moderate,well,46-55,47.9,0.972,extreme
35.1,58.2,7,light,poor,46-55,44.4,1.0,extreme
37.3,65.1,10,light,well,55+,55.8,0.997,extreme
25.0,78.6,5,heavy,poor,18-25,25.6,0.639,moderate
39.6,46.8,6,heavy,moderate,26-35,51.2,0.977,extreme
41.1,49.3,3,extreme,moderate,36-45,58.0,1.0,extreme
34.0,48.9,11,heavy,poor,55+,38.0,0.951,extreme
31.5,72.5,10,light,poor,55+,39.7,1.0,extreme
33.1,45.7,5,light,poor,18-25,35.3,0.777,high
32.4,77.2,6,heavy,moderate,46-55,44.6,1.0,extreme
34.0,58.5,6,extreme,well,46-55,41.5,1.0,extreme
22.9,71.6,12,light,moderate,46-55,23.1,0.616,moderate
30.5,48.5,8,extreme,poor,36-45,31.5,0.964,extreme
36.4,40.0,7,heavy,poor,46-55,40.0,0.974,extreme
31.4,74.0,11,moderate,poor,26-35,40.2,0.99,extreme
36.5,53.7,2,extreme,well,46-55,46.3,0.966,extreme
34.3,73.7,2,extreme,poor,46-55,49.9,1.0,extreme
30.2,66.6,7,light,well,26-35,34.6,0.528,moderate
33.4,36.8,1,heavy,moderate,55+,33.8,0.801,high
33.5,49.1,8,heavy,well,18-25,37.1,0.647,moderate
38.2,55.4,4,moderate,moderate,26-35,52.4,0.997,extreme
28.9,77.7,11,light,poor,36-45,33.9,0.892,extreme
42.4,63.3,9,moderate,well,55+,76.4,0.991,extreme
26.7,59.5,4,light,moderate,55+,27.7,0.549,moderate
35.0,45.8,6,heavy,moderate,55+,39.1,0.965,extreme
26.2,35.7,7,heavy,poor,18-25,25.8,0.623,moderate
34.4,52.8,10,moderate,well,55+,40.2,0.97,extreme
32.7,53.3,2,extreme,poor,18-25,36.7,0.998,extreme
31.1,49.3,10,light,poor,26-35,32.6,0.935,extreme
39.1,42.5,6,extreme,poor,46-55,47.3,0.958,extreme
36.6,78.3,1,extreme,moderate,46-55,62.8,0.925,extreme
32.3,77.2,1,extreme,well,36-45,44.3,1.0,extreme
33.7,67.3,7,heavy,well,46-55,44.4,0.999,extreme
31.3,61.7,11,extreme,poor,36-45,36.0,0.97,extreme
32.4,77.1,1,moderate,moderate,26-35,44.6,0.904,extreme
43.6,68.7,11,light,moderate,18-25,89.3,0.997,extreme
33.9,53.2,10,heavy,moderate,18-25,39.4,0.954,extreme
32.6,26.2,11,moderate,moderate,26-35,31.1,0.756,high
31.8,66.7,10,moderate,poor,18-25,38.6,1.0,extreme
31.8,57.6,12,light,moderate,46-55,36.0,0.986,extreme
28.5,76.2,11,extreme,moderate,55+,32.8,0.965,extreme
29.5,33.4,12,heavy,moderate,26-35,28.5,0.8,high
28.1,77.3,3,extreme,moderate,26-35,31.8,0.66,moderate
31.2,21.6,3,extreme,well,26-35,29.3,0.515,moderate
31.7,39.4,10,extreme,well,26-35,31.8,0.901,extreme
20.0,66.9,11,moderate,poor,46-55,19.8,0.894,extreme
36.0,93.4,5,moderate,moderate,26-35,72.1,0.956,extreme
33.7,66.0,9,extreme,moderate,18-25,44.0,1.0,extreme
31.2,75.8,2,heavy,well,18-25,39.9,0.932,extreme
30.6,53.3,5,extreme,well,36-45,32.6,0.96,extreme
35.8,59.2,4,heavy,moderate,36-45,47.1,0.93,extreme
24.6,65.4,4,light,moderate,18-25,24.8,0.096,low
22.9,58.1,12,moderate,well,36-45,22.7,0.612,moderate
31.6,89.6,11,moderate,poor,55+,47.2,0.938,extreme
35.6,50.6,5,moderate,poor,55+,42.4,1.0,extreme
30.4,47.8,4,heavy,poor,46-55,31.3,0.789,high
27.3,66.8,10,heavy,moderate,55+,29.0,0.875,extreme
28.3,71.3,4,extreme,well,18-25,31.4,0.51,moderate
30.7,46.0,8,moderate,poor,18-25,31.4,0.746,high
34.8,67.8,9,heavy,moderate,26-35,48.2,0.943,extreme
23.7,64.2,4,light,poor,26-35,23.8,0.255,low
35.7,68.9,10,heavy,poor,36-45,52.5,0.971,extreme
26.5,40.6,10,moderate,moderate,46-55,26.3,0.675,moderate
37.3,66.0,3,light,moderate,36-45,56.7,0.904,extreme
30.0,43.6,9,extreme,poor,36-45,30.2,1.0,extreme
25.0,66.5,4,extreme,well,18-25,25.2,0.491,moderate
28.2,69.6,6,moderate,poor,26-35,30.9,0.618,moderate
29.4,89.3,3,extreme,moderate,36-45,38.2,0.905,extreme
31.5,60.4,3,light,moderate,46-55,35.9,0.657,moderate
35.1,38.9,7,heavy,well,46-55,37.0,0.889,extreme
37.7,70.8,9,extreme,moderate,18-25,61.8,0.935,extreme
33.5,64.0,8,moderate,moderate,36-45,42.5,0.873,extreme
32.6,57.0,1,moderate,poor,46-55,37.5,1.0,extreme
30.9,72.8,12,moderate,poor,36-45,38.3,0.943,extreme
38.2,62.2,12,heavy,moderate,46-55,57.4,0.974,extreme
31.7,63.4,11,light,poor,26-35,37.5,0.993,extreme
31.1,82.6,8,extreme,poor,36-45,42.2,0.968,extreme
24.0,45.4,9,moderate,moderate,36-45,23.6,0.606,moderate
32.7,77.5,11,heavy,moderate,36-45,45.9,1.0,extreme
35.1,68.4,7,extreme,poor,55+,49.7,1.0,extreme
31.5,45.8,1,heavy,poor,46-55,32.6,1.0,extreme
31.1,66.9,10,heavy,well,46-55,36.9,0.952,extreme
29.8,55.0,5,heavy,moderate,55+,31.6,0.783,high
27.6,74.3,7,extreme,poor,18-25,30.5,0.91,extreme
32.8,55.5,4,extreme,well,36-45,37.6,0.839,high
34.1,58.4,10,light,poor,46-55,41.8,0.903,extreme
31.1,88.2,1,moderate,well,18-25,44.5,0.893,extreme
27.5,71.5,10,moderate,moderate,18-25,29.9,0.744,high
33.1,54.9,3,light,well,36-45,38.1,0.531,moderate
32.2,63.4,2,moderate,well,55+,38.6,0.721,high
33.5,43.7,11,heavy,well,18-25,35.6,0.888,extreme
31.1,88.8,7,heavy,moderate,55+,44.7,0.97,extreme
20.0,85.2,4,extreme,well,36-45,20.3,0.46,moderate
29.8,56.5,12,moderate,well,55+,31.8,0.799,high
27.1,69.8,9,moderate,well,18-25,28.9,0.706,high
32.9,45.8,5,heavy,well,46-55,34.9,0.901,extreme
28.7,44.8,8,light,well,18-25,28.8,0.293,low
28.3,62.3,7,moderate,moderate,55+,30.2,0.628,moderate
30.3,46.9,9,extreme,poor,46-55,31.0,0.948,extreme
33.5,68.5,3,heavy,well,46-55,44.4,0.983,extreme
33.8,56.5,1,light,poor,55+,40.3,0.945,extreme
31.5,73.0,1,heavy,poor,55+,40.0,1.0,extreme
32.4,45.6,9,light,poor,55+,34.0,1.0,extreme
32.1,84.1,12,light,well,55+,46.5,0.985,extreme
25.1,50.8,9,light,poor,55+,25.0,0.802,high
29.2,50.8,1,extreme,poor,36-45,30.0,0.836,high
27.7,68.5,8,heavy,well,36-45,29.9,0.596,moderate
37.6,73.7,5,extreme,poor,18-25,63.6,0.982,extreme
28.9,62.6,9,extreme,poor,46-55,31.3,0.928,extreme
29.8,64.4,10,heavy,poor,36-45,33.3,1.0,extreme
29.9,46.1,12,extreme,poor,55+,30.3,0.984,extreme
29.1,57.7,12,extreme,poor,18-25,30.9,1.0,extreme
36.8,59.5,4,moderate,well,36-45,50.5,0.924,extreme
35.6,54.6,8,heavy,moderate,26-35,44.2,0.899,extreme
26.9,42.0,8,light,moderate,46-55,26.9,0.384,low
24.6,90.6,6,heavy,poor,18-25,25.5,0.635,moderate
26.2,44.7,10,heavy,poor,46-55,26.0,0.963,extreme
32.7,49.2,1,light,poor,36-45,35.5,0.763,high
35.7,74.4,1,heavy,well,26-35,55.7,1.0,extreme
27.6,49.2,5,moderate,moderate,46-55,27.9,0.682,moderate
30.1,42.7,2,heavy,well,18-25,30.2,0.383,low
34.2,54.9,4,moderate,moderate,46-55,40.5,0.973,extreme
31.2,43.6,6,moderate,well,46-55,31.7,0.582,moderate
29.8,53.2,11,extreme,moderate,18-25,31.2,1.0,extreme
28.1,49.3,11,light,well,18-25,28.5,0.494,moderate
37.6,48.0,1,extreme,well,26-35,46.5,1.0,extreme
21.7,78.6,5,heavy,moderate,55+,21.9,0.639,moderate
36.7,66.0,1,light,poor,46-55,54.3,1.0,extreme
33.4,66.2,10,extreme,moderate,36-45,43.0,0.999,extreme
33.0,68.2,7,moderate,well,55+,42.7,0.923,extreme
29.9,64.2,8,heavy,well,36-45,33.5,0.72,high
36.4,74.7,7,extreme,poor,18-25,58.9,1.0,extreme
36.0,67.3,12,moderate,poor,55+,52.5,0.937,extreme
30.5,83.6,5,heavy,well,36-45,40.3,0.996,extreme
30.7,51.9,12,extreme,well,18-25,32.5,0.922,extreme
42.4,65.2,4,heavy,poor,36-45,78.7,1.0,extreme
36.5,47.8,8,light,moderate,26-35,43.3,0.95,extreme
26.4,41.8,10,moderate,moderate,46-55,26.2,0.811,high
27.7,51.9,5,moderate,moderate,46-55,28.3,0.749,high
20.9,59.6,11,light,poor,18-25,20.6,0.687,moderate
24.0,80.6,7,light,poor,36-45,24.6,0.352,low
27.8,57.3,8,heavy,well,26-35,28.8,0.529,moderate
30.3,69.4,1,moderate,well,36-45,35.6,0.548,moderate
30.1,54.5,5,light,moderate,36-45,31.9,0.486,moderate
32.5,64.3,5,moderate,poor,18-25,39.8,1.0,extreme
40.0,52.0,1,heavy,moderate,55+,56.2,1.0,extreme
26.4,75.3,1,extreme,poor,55+,28.3,1.0,extreme
30.6,60.9,10,light,poor,36-45,34.2,1.0,extreme
32.0,51.7,5,extreme,poor,26-35,34.8,1.0,extreme
37.1,25.9,5,extreme,poor,18-25,36.8,1.0,extreme
31.7,52.1,10,light,moderate,36-45,34.2,0.858,extreme
29.3,44.7,4,heavy,well,55+,29.5,0.569,moderate
30.7,49.0,5,heavy,moderate,26-35,31.9,0.705,high
31.2,63.2,11,heavy,moderate,46-55,36.1,0.975,extreme
33.6,32.1,6,light,well,18-25,33.1,0.595,moderate
35.4,69.8,9,heavy,poor,55+,51.7,0.978,extreme
26.7,58.3,5,moderate,well,36-45,27.6,0.513,moderate
30.9,79.7,2,extreme,poor,55+,40.3,0.965,extreme
42.7,60.9,11,moderate,moderate,18-25,75.2,0.942,extreme
28.0,58.7,3,heavy,poor,26-35,29.3,0.699,moderate
29.8,43.6,9,moderate,poor,18-25,29.9,0.961,extreme
29.6,61.2,5,moderate,poor,18-25,32.3,0.883,extreme
23.6,43.7,1,extreme,moderate,18-25,23.2,0.565,moderate
29.0,49.8,2,extreme,well,26-35,29.7,0.507,moderate
22.1,69.2,7,light,well,18-25,22.2,0.192,low
23.1,32.2,2,heavy,well,46-55,22.3,0.475,moderate
29.1,63.2,8,heavy,moderate,55+,31.6,0.78,high
32.7,80.5,1,moderate,poor,46-55,47.4,0.949,extreme
32.7,65.2,5,moderate,moderate,26-35,40.6,0.974,extreme
40.4,54.7,2,moderate,moderate,36-45,59.6,1.0,extreme
33.4,53.1,3,moderate,well,18-25,38.0,0.558,moderate
20.0,58.1,1,extreme,poor,46-55,19.6,0.901,extreme
33.9,61.9,1,light,well,55+,42.6,0.908,extreme
29.2,100.0,1,extreme,moderate,26-35,40.8,1.0,extreme
35.2,71.5,5,extreme,moderate,26-35,52.1,1.0,extreme
37.2,64.6,7,light,well,36-45,55.3,0.944,extreme
34.9,71.6,9,moderate,poor,26-35,50.9,1.0,extreme
26.9,66.5,3,extreme,poor,36-45,28.4,0.861,extreme
33.2,81.6,7,moderate,poor,26-35,49.8,1.0,extreme
35.7,63.5,1,heavy,moderate,36-45,49.1,1.0,extreme
32.3,61.1,3,heavy,well,18-25,38.1,0.731,high
27.4,66.1,7,moderate,poor,26-35,29.2,0.68,moderate
23.7,76.7,3,extreme,moderate,36-45,24.1,0.571,moderate
32.1,63.6,7,extreme,well,18-25,38.5,0.821,high
36.7,63.0,4,light,moderate,46-55,52.4,0.965,extreme
23.4,73.9,10,light,moderate,26-35,23.7,0.45,moderate
30.9,42.0,4,heavy,moderate,26-35,31.1,0.515,moderate
